System Qty:,25,,,,,,,,,Price/quantity,,,,,,,,,,,,price per,,,,,,,,,ext price,,,,,,,,
Cost/System,$36.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100 mil headers, male",J2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,180.83,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5,58.201,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,41.6285,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,38.54833333,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,20,36.64,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,25,34.5146,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,30,34.44833333,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,35,34.41128571,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,40,34.2461,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,45,33.7786,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,50,33.2606,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,55,33.2606,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,60,33.2606,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,65,33.24213846,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,70,33.21631429,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,75,32.8486,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,80,32.5206,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,85,31.97634118,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,90,31.1634,,,10,~40,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,95,30.18182105,,,25,~35,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,100,29.2293,,,100,~30,,,,,,,,,,
